file,circuit,main_len_px,pit_len_px,lap_sec_csv,lap_sec_src,length_km,px_per_sec,sec_per_px,pit_travel_sec,notes
Albert Park Circuit.svg,Albert Park Circuit,2294.963,297.427,86.36727272727272,estimated(220.0km/h),5.278,26.572137,0.037633405,11.1932,
Autodromo Enzo e Dino Ferrari.svg,Autodromo Enzo e Dino Ferrari,2231.245,350.017,80.3290909090909,estimated(220.0km/h),4.909,27.776301,0.036001914,12.6013,
Autodromo Hermanos Rodriguez.svg,Autodromo Hermanos Rodriguez,1966.121,353.131,70.42909090909092,estimated(220.0km/h),4.304,27.916319,0.035821341,12.6496,
Autodromo Jose Carlos Pace.svg,Autodromo Jose Carlos Pace,2920.847,790.919,70.5109090909091,estimated(220.0km/h),4.309,41.424044,0.024140569,19.0932,
Autodromo Nazionale Monza.svg,Autodromo Nazionale Monza,2011.556,287.034,94.79454545454546,estimated(220.0km/h),5.793,21.220166,0.047124985,13.5265,
Bahrain International Circuit.svg,Bahrain International Circuit,3431.983,448.483,88.56,estimated(220.0km/h),5.412,38.753196,0.025804324,11.5728,
Baku City Circuit.svg,Baku City Circuit,2473.393,312.983,98.2309090909091,estimated(220.0km/h),6.003,25.179376,0.039715043,12.4301,
Circuit de Barcelona-Catalunya.svg,Circuit de Barcelona-Catalunya,3197.144,592.801,76.20545454545454,estimated(220.0km/h),4.657,41.954267,0.023835478,14.1297,
Circuit de Monaco.svg,Circuit de Monaco,2577.122,438.359,54.60545454545455,estimated(220.0km/h),3.337,47.195322,0.021188541,9.2882,
Circuit de Spa-Francorchamps.svg,Circuit de Spa-Francorchamps,2557.287,253.183,114.61090909090908,estimated(220.0km/h),7.004,22.312771,0.044817382,11.347,
Circuit Gilles Villeneuve.svg,Circuit Gilles Villeneuve,1804.382,286.205,71.36181818181818,estimated(220.0km/h),4.361,25.284978,0.039549174,11.3192,
Circuit of the Americas.svg,Circuit of the Americas,2637.79,323.849,90.21272727272726,estimated(220.0km/h),5.513,29.239666,0.034200117,11.0757,
Circuit Zandvoort.svg,Circuit Zandvoort,2478.392,417.696,69.69272727272728,estimated(220.0km/h),4.259,35.561702,0.028120139,11.7457,
Hungaroring.svg,Hungaroring,2342.157,372.484,71.68909090909091,estimated(220.0km/h),4.381,32.671038,0.030608149,11.401,
Jeddah Corniche Circuit.svg,Jeddah Corniche Circuit,2350.209,312.1,101.02909090909091,estimated(220.0km/h),6.174,23.262696,0.042987279,13.4163,
Las Vegas Strip Circuit.svg,Las Vegas Strip Circuit,2526.745,216.173,101.47090909090909,estimated(220.0km/h),6.201,24.901176,0.040158745,8.6812,
Lusail International Circuit.svg,Lusail International Circuit,2799.513,559.872,88.67454545454544,estimated(220.0km/h),5.419,31.57065,0.03167499,17.7339,
Marina Bay Street Circuit.svg,Marina Bay Street Circuit,2630.745,361.795,80.83636363636364,estimated(220.0km/h),4.94,32.544079,0.030727556,11.1171,
Miami International Autodrome.svg,Miami International Autodrome,3064.468,390.411,88.56,estimated(220.0km/h),5.412,34.603297,0.02889898,11.2825,
Red Bull Ring.svg,Red Bull Ring,2450.45,542.804,70.7890909090909,estimated(220.0km/h),4.326,34.616209,0.0288882,15.6806,
Shanghai International Circuit.svg,Shanghai International Circuit,2914.518,399.41,89.19818181818181,estimated(220.0km/h),5.451,32.674635,0.03060478,12.2239,
Silverstone Circuit.svg,Silverstone Circuit,2645.43,468.34,96.39818181818181,estimated(220.0km/h),5.891,27.442738,0.036439513,17.0661,
Suzuka International Racing Course.svg,Suzuka International Racing Course,2503.279,299.275,95.02363636363637,estimated(220.0km/h),5.807,26.343751,0.037959667,11.3604,
Yas Marina Circuit.svg,Yas Marina Circuit,2791.032,496.008,86.41636363636363,estimated(220.0km/h),5.281,32.297494,0.030962154,15.3575,
